image,gt,yolo_det,ensemble_masks,vetoed,yolo_tp,yolo_fp,yolo_fn,ensemble_tp,ensemble_fp,ensemble_fn
040390.jpg,6,6,6,0,6,0,0,6,0,0
040396.jpg,4,4,3,1,4,0,0,3,0,1
040397.jpg,7,7,7,0,7,0,0,7,0,0
040408.jpg,5,5,5,0,4,1,1,4,1,1
040414.jpg,3,3,3,0,3,0,0,3,0,0
040415.jpg,4,3,3,0,3,0,1,3,0,1
040420.jpg,4,5,5,0,4,1,0,4,1,0
040421.jpg,1,1,1,0,1,0,0,1,0,0
040434.jpg,4,4,4,0,3,1,1,3,1,1
040435.jpg,5,5,5,0,5,0,0,5,0,0
040457.jpg,5,3,3,0,2,1,3,2,1,3
040470.jpg,3,3,3,0,3,0,0,3,0,0
040474.jpg,4,4,3,1,2,2,2,2,1,2
050003.jpg,1,1,1,0,1,0,0,1,0,0
050018.jpg,8,6,6,0,6,0,2,6,0,2
050021.jpg,2,2,2,0,2,0,0,2,0,0
050025.jpg,2,2,2,0,2,0,0,2,0,0
050026.jpg,2,2,2,0,2,0,0,2,0,0
050031.jpg,6,4,4,0,3,1,3,3,1,3
050034.jpg,9,7,7,0,5,2,4,5,2,4
050043.jpg,7,6,6,0,4,2,3,4,2,3
050046.jpg,3,3,3,0,2,1,1,2,1,1
050049.jpg,1,1,1,0,0,1,1,0,1,1
050051.jpg,5,4,4,0,3,1,2,3,1,2
050061.jpg,2,2,2,0,2,0,0,2,0,0
050070.jpg,6,6,6,0,5,1,1,5,1,1
050074.jpg,4,4,4,0,3,1,1,3,1,1
050087.jpg,6,7,7,0,5,2,1,5,2,1
050089.jpg,1,2,2,0,1,1,0,1,1,0
050101.jpg,3,3,3,0,3,0,0,3,0,0
050102.jpg,3,3,3,0,3,0,0,3,0,0
050104.jpg,3,0,0,0,0,0,3,0,0,3
050105.jpg,5,5,5,0,5,0,0,5,0,0
050111.jpg,4,3,3,0,3,0,1,3,0,1
050117.jpg,3,3,3,0,3,0,0,3,0,0
050123.jpg,3,3,3,0,3,0,0,3,0,0
050125.jpg,2,1,1,0,0,1,2,0,1,2
050128.jpg,4,4,4,0,4,0,0,4,0,0
050142.jpg,6,5,5,0,4,1,2,4,1,2
050158.jpg,2,2,2,0,2,0,0,2,0,0
050180.jpg,3,3,3,0,2,1,1,2,1,1
050181.jpg,1,1,1,0,1,0,0,1,0,0
050194.jpg,3,3,2,1,3,0,0,2,0,1
050198.jpg,2,2,2,0,2,0,0,2,0,0
050206.jpg,1,1,1,0,1,0,0,1,0,0
050211.jpg,4,4,4,0,3,1,1,3,1,1
050224.jpg,5,4,2,2,3,1,2,2,0,3
050225.jpg,7,7,7,0,7,0,0,7,0,0
050244.jpg,5,5,5,0,4,1,1,4,1,1
050245.jpg,5,5,5,0,4,1,1,4,1,1
050248.jpg,3,2,2,0,2,0,1,2,0,1
050254.jpg,2,2,2,0,2,0,0,2,0,0
050264.jpg,3,3,3,0,3,0,0,3,0,0
050275.jpg,2,2,2,0,2,0,0,2,0,0
050282.jpg,6,6,6,0,6,0,0,6,0,0
050288.jpg,6,5,5,0,5,0,1,5,0,1
050298.jpg,5,4,4,0,4,0,1,4,0,1
050302.jpg,3,2,2,0,2,0,1,2,0,1
050305.jpg,3,2,2,0,1,1,2,1,1,2
050319.jpg,1,1,1,0,0,1,1,0,1,1
050327.jpg,1,1,1,0,1,0,0,1,0,0
050328.jpg,8,4,4,0,3,1,5,3,1,5
050343.jpg,2,2,2,0,2,0,0,2,0,0
050357.jpg,4,4,4,0,4,0,0,4,0,0
050372.jpg,1,1,1,0,0,1,1,0,1,1
050375.jpg,6,4,3,1,4,0,2,3,0,3
050377.jpg,6,4,4,0,3,1,3,3,1,3
050384.jpg,5,3,3,0,3,0,2,3,0,2
050388.jpg,4,4,4,0,3,1,1,3,1,1
050392.jpg,2,2,2,0,2,0,0,2,0,0
050399.jpg,4,4,4,0,3,1,1,3,1,1
050400.jpg,3,3,3,0,3,0,0,3,0,0
050402.jpg,3,3,3,0,3,0,0,3,0,0
050421.jpg,2,2,2,0,2,0,0,2,0,0
060001.jpg,2,2,2,0,2,0,0,2,0,0
060003.jpg,6,4,3,1,3,1,3,3,0,3
060015.jpg,3,2,2,0,2,0,1,2,0,1
060022.jpg,3,2,2,0,2,0,1,2,0,1
060026.jpg,7,7,7,0,6,1,1,6,1,1
060030.jpg,7,4,3,1,3,1,4,3,0,4
060033.jpg,6,3,3,0,2,1,4,2,1,4
060034.jpg,2,2,1,1,2,0,0,1,0,1
060036.jpg,3,2,2,0,1,1,2,1,1,2
060052.jpg,3,2,2,0,1,1,2,1,1,2
060057.jpg,2,2,2,0,2,0,0,2,0,0
060059.jpg,6,4,4,0,3,1,3,3,1,3
060061.jpg,6,5,5,0,5,0,1,5,0,1
060062.jpg,5,5,5,0,3,2,2,3,2,2
060065.jpg,4,5,5,0,4,1,0,4,1,0
060066.jpg,2,2,2,0,0,2,2,0,2,2
060068.jpg,3,1,1,0,0,1,3,0,1,3
060076.jpg,2,2,2,0,2,0,0,2,0,0
060077.jpg,2,2,2,0,2,0,0,2,0,0
060079.jpg,3,2,2,0,1,1,2,1,1,2
060094.jpg,2,1,1,0,1,0,1,1,0,1
060103.jpg,4,2,2,0,2,0,2,2,0,2
060108.jpg,3,1,1,0,1,0,2,1,0,2
060109.jpg,4,2,2,0,2,0,2,2,0,2
060114.jpg,1,1,1,0,1,0,0,1,0,0
060118.jpg,6,5,4,1,4,1,2,3,1,3
060121.jpg,4,4,4,0,4,0,0,4,0,0
060124.jpg,5,5,5,0,5,0,0,5,0,0
